Generation 0:
Agg: 0.49995000499950004, Lines: 4.999500049995001e-05, Holes: 0.49995000499950004, Bump: -4.999500049995001e-05, Multi: 0.0, Fitness: 0
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 0
Agg: -9.997000899730082e-05, Lines: 0.9997000899730082, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 920
Agg: -9.997000899730084e-05, Lines: 0.9997000899730081, Holes: -9.997000899730084e-05, Bump: -9.997000899730084e-05, Multi: 0.0, Fitness: 1190
Agg: -9.997000899730082e-05, Lines: 0.9997000899730082, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 1090
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 480
Agg: -9.997000899730084e-05, Lines: 0.9997000899730081, Holes: -9.997000899730084e-05, Bump: -9.997000899730084e-05, Multi: 0.0, Fitness: 330
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 740
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 560
Agg: -9.997000899730082e-05, Lines: 0.9997000899730081, Holes: -9.997000899730082e-05, Bump: -9.997000899730082e-05, Multi: 0.0, Fitness: 0
Agg: -0.2582025603625289, Lines: 0.2403886728136658, Holes: -0.2549255900589943, Bump: -0.15874106447523192, Multi: 0.08774211228957905, Fitness: 2430
Agg: -0.34446721642497974, Lines: 0.3071490170281049, Holes: -0.18930485678516198, Bump: -0.10877247073609272, Multi: 0.05030643902566072, Fitness: 0
Agg: -0.04579184738424795, Lines: 0.10924188501320972, Holes: -0.33461865114165845, Bump: -0.46610159585926814, Multi: 0.04424602060161582, Fitness: 0

Best from Generation 1
Agg: -9.997000899730084e-05, Lines: 0.9997000899730081, Holes: -9.997000899730084e-05, Bump: -9.997000899730084e-05, Multi: 0.0, Fitness: 1190
Agg: -0.2582025603625289, Lines: 0.2403886728136658, Holes: -0.2549255900589943, Bump: -0.15874106447523192, Multi: 0.08774211228957905, Fitness: 2430

Generation 2:
Agg: -9.997000899730084e-05, Lines: 0.9997000899730081, Holes: -9.997000899730084e-05, Bump: -9.997000899730084e-05, Multi: 0.0, Fitness: 1250
Agg: -0.2582025603625289, Lines: 0.2403886728136658, Holes: -0.2549255900589943, Bump: -0.15874106447523192, Multi: 0.08774211228957905, Fitness: 0
Agg: -0.1607136728209301, Lines: 0.5101023025323549, Holes: -0.18659598295868737, Bump: -0.07414294774612706, Multi: 0.06844509394190067, Fitness: 5030
Agg: -0.06995913824913678, Lines: 0.6877339498405852, Holes: -0.14070299219424828, Bump: -0.05142206303547144, Multi: 0.05018185668055835, Fitness: 4860
Agg: -0.1950532940741397, Lines: 0.508477259450189, Holes: -0.0703659055627999, Bump: -0.146576216449878, Multi: 0.07952732446299354, Fitness: 270
